ACCLASS,VISIBILITY,LIGHT,INJURY,INVTYPE,INITDIR,DIVISION,COLLISION_DATE,COLLISION_YEAR,COLLISION_TIME,HOUR,WEATHER,NEIGHBOURHOOD
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,West,D53,2006-01-22,2006,2006-01-22T18:00:00Z,18,Clear,Annex
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,South,D14,2006-01-27,2006,2006-01-27T20:46:00Z,20,Clear,Palmerston-Little Italy
Fatal,Rain,Dark,Fatal,Pedestrian,South,D22,2006-01-29,2006,2006-01-29T20:48:00Z,20,Adverse,Mimico-Queensway
Non-Fatal Injury,Rain,Dark,Major,Pedestrian,North,D13,2006-01-29,2006,2006-01-29T21:30:00Z,21,Adverse,Casa Loma
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,East,D11,2006-02-07,2006,2006-02-07T13:30:00Z,13,Clear,Runnymede-Bloor West Village
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,South,D23,2006-02-08,2006,2006-02-08T15:00:00Z,15,Clear,West Humber-Clairville
Non-Fatal Injury,Clear,Dark,Major,Cyclist,South,D33,2006-02-11,2006,2006-02-11T18:04:00Z,18,Clear,Parkwoods-O'Connor Hills
Non-Fatal Injury,Rain,Dark,Major,Pedestrian,West,D14,2006-02-16,2006,2006-02-16T21:59:00Z,21,Adverse,Dovercourt Village
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,South,D53,2006-02-19,2006,2006-02-19T15:08:00Z,15,Clear,Leaside-Bennington
Fatal,Clear,Dusk,Fatal,Pedestrian,West,D42,2006-02-20,2006,2006-02-20T18:40:00Z,18,Clear,Malvern West
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,West,D32,2006-02-21,2006,2006-02-21T18:46:00Z,18,Clear,Lansing-Westgate
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,South,D13,2006-02-23,2006,2006-02-23T13:50:00Z,13,Clear,Forest Hill South
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,East,D53,2006-02-25,2006,2006-02-25T15:29:00Z,15,Clear,Annex
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,South,D55,2006-02-27,2006,2006-02-27T17:23:00Z,17,Clear,South Riverdale
Non-Fatal Injury,Clear,Dark,Major,Cyclist,West,D43,2006-02-27,2006,2006-02-27T19:55:00Z,19,Adverse,West Hill
Non-Fatal Injury,Clear,Dark,Minor,Pedestrian,None,D43,2006-02-28,2006,2006-02-28T23:34:00Z,23,Clear,Eglinton East
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,None,D43,2006-02-28,2006,2006-02-28T23:34:00Z,23,Clear,Eglinton East
Non-Fatal Injury,Clear,Daylight,Major,Cyclist,West,D55,2006-03-01,2006,2006-03-01T11:10:00Z,11,Clear,Broadview North
Non-Fatal Injury,Clear,Other,Major,Pedestrian,West,D11,2006-03-06,2006,2006-03-06T18:28:00Z,18,Clear,High Park-Swansea
Fatal,Clear,Dark,Minor,Pedestrian,South,D41,2006-03-12,2006,2006-03-13T00:00:00Z,0,Clear,Kennedy Park
Fatal,Clear,Dark,Fatal,Pedestrian,South,D41,2006-03-12,2006,2006-03-13T00:00:00Z,0,Clear,Kennedy Park
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,West,D14,2006-03-12,2006,2006-03-12T19:03:00Z,19,Clear,Trinity-Bellwoods
Fatal,Clear,Daylight,Fatal,Pedestrian,North,D23,2006-03-15,2006,2006-03-15T15:35:00Z,15,Clear,Kingsview Village-The Westway
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,South,D51,2006-03-16,2006,2006-03-16T17:10:00Z,17,Clear,Moss Park
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,North,D14,2006-03-17,2006,2006-03-17T15:54:00Z,15,Clear,Annex
Non-Fatal Injury,Rain,Dark,Major,Pedestrian,None,D55,2006-03-25,2006,2006-03-25T18:50:00Z,18,Adverse,South Riverdale
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,North,D14,2006-03-31,2006,2006-03-31T16:40:00Z,16,Clear,Annex
Non-Fatal Injury,Rain,Daylight,Major,Pedestrian,West,D11,2006-04-03,2006,2006-04-03T16:15:00Z,16,Adverse,High Park North
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,None,D13,2006-04-04,2006,2006-04-04T13:25:00Z,13,Clear,Forest Hill South
Non-Fatal Injury,Clear,Daylight,Major,Cyclist,South,D52,2006-04-06,2006,2006-04-06T15:40:00Z,15,Clear,Yonge-Bay Corridor
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,South,D13,2006-04-06,2006,2006-04-06T18:25:00Z,18,Clear,Englemount-Lawrence
Non-Fatal Injury,Rain,Dark,Major,Pedestrian,West,D23,2006-04-12,2006,2006-04-12T18:13:00Z,18,Adverse,West Humber-Clairville
Fatal,Clear,Dark,Fatal,Pedestrian,West,D52,2006-04-15,2006,2006-04-15T20:00:00Z,20,Clear,Bay-Cloverhill
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,North,D12,2006-04-19,2006,2006-04-19T19:00:00Z,19,Clear,Brookhaven-Amesbury
Fatal,Clear,Dark,Fatal,Cyclist,North,D31,2006-04-20,2006,2006-04-20T20:53:00Z,20,Clear,York University Heights
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,None,D53,2006-04-25,2006,2006-04-25T16:30:00Z,16,Clear,Bedford Park-Nortown
Non-Fatal Injury,Clear,Dark,Major,Cyclist,East,D14,2006-04-28,2006,2006-04-28T23:49:00Z,23,Clear,Dufferin Grove
Fatal,Clear,Daylight,Fatal,Pedestrian,North,D14,2006-05-03,2006,2006-05-03T10:32:00Z,10,Clear,Trinity-Bellwoods
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,North,D42,2006-05-06,2006,2006-05-06T23:14:00Z,23,Clear,Agincourt South-Malvern West
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,North,D14,2006-05-08,2006,2006-05-08T19:11:00Z,19,Clear,Annex
Non-Fatal Injury,Rain,Daylight,Major,Pedestrian,East,D13,2006-05-11,2006,2006-05-11T15:36:00Z,15,Adverse,Humewood-Cedarvale
Non-Fatal Injury,Rain,Daylight,Major,Pedestrian,North,D31,2006-05-11,2006,2006-05-11T17:00:00Z,17,Adverse,Oakdale-Beverley Heights
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,East,D53,2006-05-13,2006,2006-05-13T12:25:00Z,12,Clear,Annex
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,None,D52,2006-05-13,2006,2006-05-13T20:47:00Z,20,Clear,Kensington-Chinatown
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,South,D32,2006-05-17,2006,2006-05-17T11:37:00Z,11,Clear,Westminster-Branson
Non-Fatal Injury,Clear,Daylight,Major,Cyclist,West,D33,2006-05-17,2006,2006-05-17T12:15:00Z,12,Clear,Henry Farm
Fatal,Rain,Daylight,Fatal,Pedestrian,North,D31,2006-05-17,2006,2006-05-17T18:10:00Z,18,Adverse,York University Heights
Non-Fatal Injury,Rain,Dark,Major,Pedestrian,East,D55,2006-05-20,2006,2006-05-20T15:00:00Z,15,Adverse,Woodbine Corridor
Fatal,Clear,Daylight,Fatal,Pedestrian,West,D53,2006-05-23,2006,2006-05-23T18:40:00Z,18,Clear,Bedford Park-Nortown
Non-Fatal Injury,Clear,Daylight,Major,Cyclist,West,D51,2006-05-24,2006,2006-05-24T19:15:00Z,19,Clear,Downtown Yonge East
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,East,D53,2006-05-25,2006,2006-05-25T22:50:00Z,22,Clear,Rosedale-Moore Park
Non-Fatal Injury,Clear,Dark,None,Cyclist,South,D53,2006-05-25,2006,2006-05-25T22:50:00Z,22,Clear,Rosedale-Moore Park
Non-Fatal Injury,Clear,Dark,Major,Cyclist,South,D13,2006-05-26,2006,2006-05-26T22:14:00Z,22,Clear,Casa Loma
Non-Fatal Injury,Rain,Daylight,Major,Pedestrian,South,D13,2006-06-03,2006,2006-06-03T18:15:00Z,18,Adverse,Wychwood
Fatal,Clear,Daylight,Fatal,Pedestrian,South,D14,2006-06-05,2006,2006-06-05T19:06:00Z,19,Clear,Dufferin Grove
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,East,D52,2006-06-06,2006,2006-06-06T15:15:00Z,15,Clear,Kensington-Chinatown
Non-Fatal Injury,Clear,Daylight,Major,Cyclist,North,D53,2006-06-06,2006,2006-06-06T15:30:00Z,15,Clear,Annex
Non-Fatal Injury,Clear,Dark,Minor,Pedestrian,Unknown,D43,2006-06-09,2006,2006-06-09T17:04:00Z,17,Clear,Morningside
Non-Fatal Injury,Clear,Daylight,Major,Cyclist,East,D14,2006-06-10,2006,2006-06-10T16:46:00Z,16,Clear,Dovercourt Village
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,East,D23,2006-06-13,2006,2006-06-13T21:24:00Z,21,Clear,West Humber-Clairville
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,West,D23,2006-06-14,2006,2006-06-14T14:40:00Z,14,Clear,West Humber-Clairville
Non-Fatal Injury,Clear,Daylight,Major,Cyclist,North,D51,2006-06-17,2006,2006-06-17T13:25:00Z,13,Clear,Moss Park
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,South,D32,2006-06-17,2006,2006-06-17T17:55:00Z,17,Clear,Yonge-Doris
Non-Fatal Injury,Clear,Dark,Major,Cyclist,North,D55,2006-06-18,2006,2006-06-18T21:05:00Z,21,Clear,Woodbine Corridor
Non-Fatal Injury,Clear,Other,Major,Cyclist,East,D53,2006-06-18,2006,2006-06-18T21:05:00Z,21,Clear,Annex
Non-Fatal Injury,Clear,Dark,Major,Cyclist,West,D41,2006-06-18,2006,2006-06-18T22:10:00Z,22,Clear,Clairlea-Birchmount
Fatal,Clear,Daylight,Fatal,Pedestrian,Unknown,D22,2006-06-19,2006,2006-06-19T12:08:00Z,12,Clear,New Toronto
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,West,D32,2006-06-19,2006,2006-06-19T17:00:00Z,17,Clear,Clanton Park
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,West,D52,2006-06-22,2006,2006-06-22T22:10:00Z,22,Clear,Kensington-Chinatown
Non-Fatal Injury,Clear,Daylight,Major,Cyclist,South,D55,2006-06-25,2006,2006-06-25T12:26:00Z,12,Clear,Broadview North
Non-Fatal Injury,Clear,Daylight,Major,Cyclist,East,D41,2006-06-28,2006,2006-06-28T10:00:00Z,10,Clear,Wexford/Maryvale
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,South,D52,2006-06-28,2006,2006-06-28T13:57:00Z,13,Clear,Yonge-Bay Corridor
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,None,D32,2006-06-30,2006,2006-06-30T12:08:00Z,12,Clear,Lansing-Westgate
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,None,D22,2006-07-04,2006,2006-07-04T18:27:00Z,18,Clear,New Toronto
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,East,D53,2006-07-07,2006,2006-07-07T14:14:00Z,14,Clear,Rosedale-Moore Park
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,North,D55,2006-07-10,2006,2006-07-10T17:58:00Z,17,Clear,The Beaches
Non-Fatal Injury,Clear,Daylight,Major,Cyclist,West,D13,2006-07-11,2006,2006-07-11T18:15:00Z,18,Clear,Oakwood Village
Non-Fatal Injury,Other,Daylight,Major,Pedestrian,West,D43,2006-07-12,2006,2006-07-12T16:00:00Z,16,Unknown,Bendale-Glen Andrew
Non-Fatal Injury,Clear,Daylight,Major,Cyclist,West,D52,2006-07-13,2006,2006-07-13T11:00:00Z,11,Clear,Bay-Cloverhill
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,East,D14,2006-07-13,2006,2006-07-13T13:10:00Z,13,Clear,Wellington Place
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,North,D22,2006-07-14,2006,2006-07-14T13:10:00Z,13,Clear,Eringate-Centennial-West Deane
Fatal,Clear,Dark,Fatal,Pedestrian,South,D11,2006-07-19,2006,2006-07-19T22:30:00Z,22,Clear,Dufferin Grove
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,South,D42,2006-07-20,2006,2006-07-20T16:24:00Z,16,Clear,Agincourt South-Malvern West
Fatal,Rain,Daylight,Fatal,Pedestrian,West,D33,2006-07-23,2006,2006-07-23T13:57:00Z,13,Adverse,Victoria Village
Non-Fatal Injury,Clear,Daylight,Major,Cyclist,East,D14,2006-07-24,2006,2006-07-24T13:02:00Z,13,Clear,South Parkdale
Non-Fatal Injury,Clear,Daylight,Major,Cyclist,East,D22,2006-07-28,2006,2006-07-28T16:10:00Z,16,Clear,New Toronto
Fatal,Clear,Daylight,Fatal,Pedestrian,South,D23,2006-07-28,2006,2006-07-28T16:26:00Z,16,Clear,Kingsview Village-The Westway
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,South,D11,2006-07-31,2006,2006-07-31T14:40:00Z,14,Clear,High Park-Swansea
Non-Fatal Injury,Clear,Daylight,Major,Cyclist,South,D52,2006-07-31,2006,2006-07-31T16:59:00Z,16,Clear,Yonge-Bay Corridor
Non-Fatal Injury,Clear,Daylight,Major,Cyclist,South,D23,2006-08-01,2006,2006-08-01T18:38:00Z,18,Clear,Rexdale-Kipling
Fatal,Clear,Dark,Fatal,Pedestrian,East,D42,2006-08-01,2006,2006-08-01T23:45:00Z,23,Clear,Malvern East
Non-Fatal Injury,Rain,Dark,Major,Pedestrian,East,D11,2006-08-03,2006,2006-08-03T12:02:00Z,12,Adverse,South Parkdale
Non-Fatal Injury,Rain,Dark,Minor,Pedestrian,East,D11,2006-08-03,2006,2006-08-03T12:02:00Z,12,Adverse,South Parkdale
Fatal,Rain,Dark,Fatal,Pedestrian,East,D12,2006-08-03,2006,2006-08-03T13:00:00Z,13,Adverse,Rockcliffe-Smythe
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,West,D32,2006-08-03,2006,2006-08-03T18:31:00Z,18,Clear,Avondale
Non-Fatal Injury,Clear,Dark,Minor,Pedestrian,None,D22,2006-08-05,2006,2020-06-08T05:06:00Z,5,Clear,Alderwood
Non-Fatal Injury,Clear,Dark,Minor,Pedestrian,None,D22,2006-08-05,2006,2020-06-08T05:06:00Z,5,Clear,Alderwood
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,None,D22,2006-08-05,2006,2020-06-08T05:06:00Z,5,Clear,Alderwood
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,None,D22,2006-08-05,2006,2020-06-08T05:06:00Z,5,Clear,Alderwood
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,None,D53,2006-08-06,2006,2006-08-06T20:03:00Z,20,Clear,Rosedale-Moore Park
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,North,D23,2006-08-07,2006,2006-08-07T21:10:00Z,21,Clear,West Humber-Clairville
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,None,D52,2006-08-07,2006,2006-08-07T23:30:00Z,23,Clear,Wellington Place
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,East,D32,2006-08-08,2006,2006-08-08T10:06:00Z,10,Clear,Newtonbrook East
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,North,D55,2006-08-09,2006,2006-08-09T21:55:00Z,21,Clear,The Beaches
Non-Fatal Injury,Clear,Daylight,Major,Cyclist,West,D33,2006-08-10,2006,2006-08-10T18:26:00Z,18,Clear,Hillcrest Village
Non-Fatal Injury,Clear,Daylight,Major,Cyclist,East,D43,2006-08-10,2006,2006-08-10T18:36:00Z,18,Clear,Cliffcrest
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,North,D51,2006-08-12,2006,2006-08-12T23:06:00Z,23,Clear,Church-Wellesley
Non-Fatal Injury,Clear,Daylight,Major,Cyclist,West,D14,2006-08-12,2006,2006-08-12T18:45:00Z,18,Clear,Palmerston-Little Italy
Non-Fatal Injury,Clear,Daylight,Major,Cyclist,South,D51,2006-08-15,2006,2006-08-15T15:50:00Z,15,Clear,Moss Park
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,South,D43,2006-08-15,2006,2006-08-15T18:13:00Z,18,Clear,West Hill
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,North,D51,2006-08-17,2006,2006-08-17T18:28:00Z,18,Clear,Moss Park
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,North,D52,2006-08-17,2006,2006-08-17T21:44:00Z,21,Clear,Wellington Place
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,South,D43,2006-08-17,2006,2006-08-17T22:56:00Z,22,Clear,West Hill
Non-Fatal Injury,Clear,Dark,Major,Cyclist,East,D53,2006-08-18,2006,2006-08-18T21:15:00Z,21,Clear,Annex
Fatal,Clear,Daylight,Fatal,Pedestrian,South,D41,2006-08-19,2006,2006-08-19T13:35:00Z,13,Clear,Wexford/Maryvale
Fatal,Clear,Dark,Fatal,Pedestrian,North,D55,2006-08-19,2006,2006-08-19T23:45:00Z,23,Clear,Greenwood-Coxwell
Non-Fatal Injury,Clear,Daylight,Minimal,Cyclist,West,D14,2006-08-20,2006,2006-08-20T15:43:00Z,15,Clear,Trinity-Bellwoods
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,North,D55,2006-08-21,2006,2006-08-21T10:40:00Z,10,Unknown,Flemingdon Park
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,West,D42,2006-08-21,2006,2006-08-21T11:42:00Z,11,Clear,Agincourt South-Malvern West
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,West,D14,2006-08-22,2006,2006-08-22T10:45:00Z,10,Clear,South Parkdale
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,None,D43,2006-08-22,2006,2006-08-22T20:46:00Z,20,Clear,Eglinton East
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,None,D42,2006-08-24,2006,2006-08-24T21:30:00Z,21,Clear,Milliken
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,West,D11,2006-08-26,2006,2006-08-26T15:36:00Z,15,Clear,Weston-Pelham Park
Non-Fatal Injury,Rain,Dark,Major,Pedestrian,North,D11,2006-08-26,2006,2006-08-26T20:56:00Z,20,Adverse,Junction-Wallace Emerson
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,East,D33,2006-08-29,2006,2006-08-29T17:00:00Z,17,Clear,Banbury-Don Mills
Non-Fatal Injury,Clear,Dark,Major,Cyclist,East,D52,2006-08-31,2006,2006-08-31T11:07:00Z,11,Clear,Bay-Cloverhill
Non-Fatal Injury,Clear,Dark,Major,Cyclist,West,D33,2006-08-31,2006,2006-08-31T20:05:00Z,20,Clear,Parkwoods-O'Connor Hills
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,North,D23,2006-09-04,2006,2006-09-04T12:10:00Z,12,Clear,West Humber-Clairville
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,North,D23,2006-09-04,2006,2006-09-04T12:10:00Z,12,Clear,West Humber-Clairville
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,South,D55,2006-09-05,2006,2006-09-05T22:26:00Z,22,Clear,The Beaches
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,South,D43,2006-09-08,2006,2006-09-08T10:25:00Z,10,Clear,Morningside
Non-Fatal Injury,Rain,Dark,Major,Pedestrian,South,D55,2006-09-09,2006,2020-06-09T09:19:00Z,9,Adverse,Greenwood-Coxwell
Fatal,Clear,Daylight,Fatal,Cyclist,West,D53,2006-09-11,2006,2006-09-11T16:29:00Z,16,Clear,Thorncliffe Park
Non-Fatal Injury,Rain,Dark,Major,Pedestrian,North,D14,2006-09-12,2006,2006-09-12T22:08:00Z,22,Adverse,South Parkdale
Non-Fatal Injury,Rain,Dusk,Major,Pedestrian,None,D53,2006-09-12,2006,2006-09-12T22:40:00Z,22,Adverse,Rosedale-Moore Park
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,East,D13,2006-09-15,2006,2006-09-15T21:59:00Z,21,Clear,Caledonia-Fairbank
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,North,D12,2006-09-17,2006,2020-06-09T17:01:00Z,17,Clear,Weston
Non-Fatal Injury,Clear,Daylight,Major,Cyclist,East,D55,2006-09-17,2006,2006-09-17T20:19:00Z,20,Clear,The Beaches
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,North,D11,2006-09-20,2006,2006-09-20T13:15:00Z,13,Clear,High Park North
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,South,D32,2006-09-21,2006,2006-09-21T14:08:00Z,14,Clear,Westminster-Branson
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,Unknown,D23,2006-09-21,2006,2006-09-21T15:00:00Z,15,Clear,Willowridge-Martingrove-Richview
Non-Fatal Injury,Clear,Dark,Major,Cyclist,East,D55,2006-09-22,2006,2006-09-22T12:07:00Z,12,Adverse,North Riverdale
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,South,D53,2006-09-25,2006,2006-09-25T12:42:00Z,12,Clear,Thorncliffe Park
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,West,D13,2006-09-26,2006,2006-09-26T14:43:00Z,14,Clear,Caledonia-Fairbank
Non-Fatal Injury,Clear,Daylight,Minimal,Pedestrian,None,D53,2006-09-28,2006,2006-09-28T14:53:00Z,14,Clear,Bedford Park-Nortown
Non-Fatal Injury,Rain,Dark,Major,Pedestrian,North,D55,2006-09-30,2006,2006-09-30T19:04:00Z,19,Adverse,Flemingdon Park
Non-Fatal Injury,Rain,Daylight,Major,Pedestrian,South,D23,2006-09-30,2006,2006-09-30T19:10:00Z,19,Adverse,Mount Olive-Silverstone-Jamestown
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,None,D42,2006-10-02,2006,2006-10-02T13:40:00Z,13,Clear,Steeles
Non-Fatal Injury,Clear,Dark,None,Pedestrian,None,D41,2006-10-02,2006,2006-10-02T23:08:00Z,23,Clear,Dorset Park
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,West,D23,2006-10-03,2006,2006-10-03T10:55:00Z,10,Adverse,Thistletown-Beaumond Heights
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,South,D31,2006-10-03,2006,2006-10-03T17:28:00Z,17,Clear,York University Heights
Non-Fatal Injury,Rain,Daylight,Major,Pedestrian,North,D14,2006-10-04,2006,2006-10-04T12:30:00Z,12,Adverse,Palmerston-Little Italy
Non-Fatal Injury,Rain,Daylight,Major,Pedestrian,None,D42,2006-10-04,2006,2006-10-04T12:50:00Z,12,Adverse,L'Amoreaux West
Non-Fatal Injury,Rain,Daylight,Major,Pedestrian,None,D42,2006-10-04,2006,2006-10-04T12:50:00Z,12,Adverse,L'Amoreaux West
Non-Fatal Injury,Rain,Daylight,Major,Pedestrian,None,D42,2006-10-04,2006,2006-10-04T12:50:00Z,12,Adverse,L'Amoreaux West
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,North,D12,2006-10-04,2006,2006-10-04T15:00:00Z,15,Clear,Keelesdale-Eglinton West
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,East,D52,2006-10-05,2006,2006-10-05T15:00:00Z,15,Clear,Yonge-Bay Corridor
Non-Fatal Injury,Clear,Dark,Major,Cyclist,North,D55,2006-10-05,2006,2006-10-05T19:40:00Z,19,Clear,South Riverdale
Non-Fatal Injury,Clear,Other,Major,Cyclist,South,D13,2006-10-06,2006,2006-10-06T18:30:00Z,18,Clear,Oakwood Village
Non-Fatal Injury,Clear,Daylight,Major,Cyclist,East,D51,2006-10-09,2006,2006-10-09T10:02:00Z,10,Clear,Regent Park
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,None,D32,2006-10-09,2006,2006-10-09T19:12:00Z,19,Clear,Yonge-Doris
Non-Fatal Injury,Rain,Daylight,Minimal,Pedestrian,None,D52,2006-10-11,2006,2006-10-11T14:06:00Z,14,Adverse,Kensington-Chinatown
Non-Fatal Injury,Rain,Daylight,Major,Pedestrian,None,D52,2006-10-11,2006,2006-10-11T14:06:00Z,14,Adverse,Kensington-Chinatown
Non-Fatal Injury,Rain,Dark,Major,Pedestrian,None,D31,2006-10-11,2006,2006-10-11T22:55:00Z,22,Adverse,York University Heights
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,North,D22,2006-10-12,2006,2006-10-12T12:10:00Z,12,Clear,Humber Bay Shores
Non-Fatal Injury,Clear,Dark,Major,Cyclist,South,D52,2006-10-13,2006,2006-10-13T23:25:00Z,23,Clear,Yonge-Bay Corridor
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,West,D13,2006-10-14,2006,2006-10-14T22:04:00Z,22,Clear,Briar Hill-Belgravia
Non-Fatal Injury,Clear,Dark,Major,Cyclist,East,D31,2006-10-15,2006,2006-10-15T19:12:00Z,19,Clear,Humbermede
Non-Fatal Injury,Rain,Dark,Major,Pedestrian,South,D32,2006-10-17,2006,2006-10-17T20:28:00Z,20,Adverse,Downsview
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,None,D55,2006-10-21,2006,2006-10-21T19:16:00Z,19,Clear,Taylor-Massey
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,West,D51,2006-10-26,2006,2006-10-26T22:05:00Z,22,Clear,Moss Park
Non-Fatal Injury,Rain,Dark,Major,Pedestrian,North,D51,2006-10-27,2006,2006-10-27T22:15:00Z,22,Adverse,Downtown Yonge East
Non-Fatal Injury,Rain,Dark,Major,Pedestrian,North,D53,2006-10-28,2006,2006-10-28T20:30:00Z,20,Adverse,Thorncliffe Park
