DATE,TIME,ACCLASS,VISIBILITY,LIGHT,RDSFCOND,INJURY,INVTYPE,INITDIR,NEIGHBOURHOOD_158,DIVISION
2018-04-30,07:24,Near Miss,Other,Daylight,Ice,Minor,Pedestrian,SE,Neighbourhood 4,Division 4
2021-09-20,13:41,Near Miss,Rain,Dawn,Wet,Fatal,Pedestrian,E,Neighbourhood 1,Division 5
2013-01-25,11:37,Collision,Clear,Daylight,Snow,None,Passenger,SW,Neighbourhood 11,Division 5
2015-01-24,14:22,Near Miss,Snow,Daylight,Dry,None,Passenger,SE,Neighbourhood 19,Division 3
2020-07-01,00:08,Collision,Other,Dusk,Wet,None,Pedestrian,S,Neighbourhood 16,Division 3
2017-01-26,21:30,Collision,Other,Dark,Ice,None,Pedestrian,N,Neighbourhood 11,Division 4
2016-12-23,00:14,Near Miss,Other,Dawn,Slush,None,Cyclist,W,Neighbourhood 12,Division 3
2022-07-22,05:29,Collision,Other,Dawn,Ice,Minor,Cyclist,SW,Neighbourhood 15,Division 5
2022-12-11,20:03,Near Miss,Clear,Dusk,Snow,None,Driver,S,Neighbourhood 17,Division 3
2019-10-16,02:18,Near Miss,Fog,Dusk,Snow,Minor,Cyclist,NE,Neighbourhood 3,Division 5
2014-06-23,12:26,Collision,Other,Dark,Dry,None,Passenger,NW,Neighbourhood 9,Division 4
2021-08-08,10:50,Near Miss,Clear,Dusk,Dry,Minor,Cyclist,NE,Neighbourhood 11,Division 3
2017-09-20,00:39,Near Miss,Other,Dusk,Dry,None,Passenger,S,Neighbourhood 4,Division 4
2023-03-13,12:07,Near Miss,Rain,Dawn,Dry,Major,Cyclist,SE,Neighbourhood 18,Division 4
2021-07-03,15:14,Collision,Snow,Dusk,Ice,None,Passenger,NE,Neighbourhood 5,Division 2
2015-11-09,13:23,Collision,Clear,Dusk,Wet,Minor,Cyclist,W,Neighbourhood 11,Division 5
2016-07-14,14:02,Near Miss,Clear,Daylight,Ice,Minor,Cyclist,S,Neighbourhood 16,Division 4
2013-08-30,03:08,Near Miss,Other,Dark,Ice,None,Driver,S,Neighbourhood 8,Division 5
2013-06-24,02:32,Collision,Other,Dawn,Slush,Minor,Cyclist,NE,Neighbourhood 5,Division 5
2013-08-10,07:23,Collision,Snow,Dusk,Wet,Minor,Passenger,SW,Neighbourhood 1,Division 4
2019-11-18,07:07,Near Miss,Clear,Dawn,Wet,Major,Pedestrian,E,Neighbourhood 3,Division 3
2023-08-10,09:07,Near Miss,Clear,Dawn,Wet,None,Pedestrian,NE,Neighbourhood 20,Division 3
2022-02-05,18:20,Near Miss,Snow,Dawn,Dry,None,Passenger,W,Neighbourhood 13,Division 3
2016-06-19,13:49,Collision,Snow,Dark,Dry,Minor,Driver,S,Neighbourhood 2,Division 3
2015-05-06,10:22,Collision,Snow,Daylight,Slush,Minor,Passenger,E,Neighbourhood 18,Division 3
2021-01-20,03:03,Collision,Snow,Dawn,Dry,None,Driver,NW,Neighbourhood 7,Division 2
2018-06-28,21:07,Near Miss,Rain,Dark,Slush,Minor,Driver,NE,Neighbourhood 3,Division 2
2021-01-09,03:33,Collision,Clear,Dawn,Ice,None,Pedestrian,W,Neighbourhood 5,Division 3
2013-11-19,07:06,Collision,Fog,Dawn,Dry,Minor,Pedestrian,E,Neighbourhood 12,Division 1
2017-10-16,19:55,Collision,Snow,Dark,Snow,None,Pedestrian,SE,Neighbourhood 8,Division 3
2015-08-09,05:59,Collision,Clear,Dark,Dry,Minor,Passenger,NW,Neighbourhood 3,Division 5
2021-09-14,05:15,Collision,Clear,Dark,Wet,Minor,Cyclist,W,Neighbourhood 13,Division 4
2015-11-05,18:30,Near Miss,Snow,Dark,Dry,None,Driver,W,Neighbourhood 20,Division 3
2023-11-04,14:09,Collision,Other,Dusk,Wet,None,Driver,NW,Neighbourhood 4,Division 2
2021-04-28,03:55,Collision,Other,Dawn,Slush,Minor,Driver,N,Neighbourhood 7,Division 2
2023-10-10,01:41,Collision,Other,Dusk,Snow,None,Passenger,NE,Neighbourhood 14,Division 4
2015-05-30,20:20,Collision,Fog,Daylight,Slush,None,Cyclist,NE,Neighbourhood 3,Division 5
2023-06-08,03:38,Collision,Rain,Dusk,Dry,Major,Passenger,SW,Neighbourhood 12,Division 4
2014-08-24,10:32,Near Miss,Snow,Daylight,Snow,None,Passenger,NW,Neighbourhood 18,Division 1
2019-08-09,18:35,Near Miss,Other,Dark,Slush,None,Passenger,S,Neighbourhood 1,Division 5
2023-05-29,18:30,Collision,Fog,Dawn,Wet,None,Passenger,S,Neighbourhood 3,Division 5
2020-07-27,12:46,Near Miss,Fog,Dusk,Slush,None,Driver,NW,Neighbourhood 9,Division 5
2018-07-24,19:45,Collision,Snow,Dusk,Wet,None,Driver,SW,Neighbourhood 20,Division 5
2017-02-06,04:03,Collision,Rain,Dawn,Slush,None,Passenger,E,Neighbourhood 17,Division 4
2016-09-10,05:18,Near Miss,Fog,Dusk,Wet,None,Cyclist,N,Neighbourhood 16,Division 2
2013-07-13,16:10,Collision,Fog,Dark,Dry,Minor,Pedestrian,NW,Neighbourhood 13,Division 1
2019-10-22,10:47,Collision,Fog,Dawn,Dry,None,Pedestrian,SE,Neighbourhood 11,Division 2
2023-07-29,12:02,Near Miss,Other,Dawn,Wet,None,Cyclist,E,Neighbourhood 6,Division 2
2020-03-15,05:35,Collision,Other,Dark,Slush,Minor,Passenger,S,Neighbourhood 11,Division 5
2018-08-12,06:29,Near Miss,Fog,Dark,Ice,None,Pedestrian,W,Neighbourhood 10,Division 4
2014-08-26,20:37,Collision,Other,Dawn,Dry,Minor,Driver,NE,Neighbourhood 3,Division 3
2022-07-28,18:35,Near Miss,Clear,Daylight,Snow,None,Cyclist,SW,Neighbourhood 14,Division 1
2018-08-28,13:20,Near Miss,Rain,Daylight,Dry,Minor,Cyclist,NE,Neighbourhood 16,Division 3
2013-02-04,05:12,Near Miss,Clear,Dawn,Snow,None,Cyclist,SW,Neighbourhood 6,Division 1
2013-03-19,23:22,Near Miss,Fog,Dark,Dry,None,Passenger,N,Neighbourhood 4,Division 5
2014-08-04,07:56,Collision,Rain,Dusk,Wet,None,Cyclist,E,Neighbourhood 13,Division 4
2016-05-10,21:44,Near Miss,Fog,Daylight,Ice,None,Driver,NW,Neighbourhood 10,Division 1
2022-01-29,18:19,Near Miss,Other,Dusk,Wet,Major,Passenger,SE,Neighbourhood 6,Division 4
2018-07-11,21:06,Collision,Clear,Dark,Slush,None,Passenger,NE,Neighbourhood 11,Division 5
2021-11-02,17:44,Near Miss,Fog,Daylight,Wet,Minor,Passenger,N,Neighbourhood 4,Division 1
2013-09-01,19:17,Near Miss,Rain,Dawn,Dry,None,Cyclist,N,Neighbourhood 13,Division 4
2023-03-16,18:33,Collision,Clear,Dark,Wet,None,Passenger,E,Neighbourhood 19,Division 4
2021-11-20,15:01,Near Miss,Snow,Dark,Slush,Minor,Cyclist,NW,Neighbourhood 17,Division 2
2013-11-13,00:51,Near Miss,Clear,Dusk,Slush,None,Cyclist,NE,Neighbourhood 16,Division 1
2019-08-11,08:49,Collision,Rain,Dawn,Snow,Minor,Pedestrian,SW,Neighbourhood 5,Division 4
2020-11-10,19:15,Near Miss,Other,Dawn,Snow,Minor,Pedestrian,SW,Neighbourhood 19,Division 3
2018-08-26,10:18,Near Miss,Fog,Dark,Ice,Minor,Cyclist,NW,Neighbourhood 13,Division 2
2020-12-01,20:10,Near Miss,Other,Dawn,Snow,Minor,Cyclist,E,Neighbourhood 8,Division 4
2021-03-31,04:29,Collision,Other,Dawn,Wet,None,Pedestrian,W,Neighbourhood 13,Division 4
2014-01-20,12:10,Near Miss,Fog,Daylight,Slush,None,Passenger,S,Neighbourhood 9,Division 5
2017-05-17,19:00,Collision,Snow,Dusk,Dry,None,Cyclist,W,Neighbourhood 13,Division 3
2016-03-28,02:38,Near Miss,Rain,Dawn,Ice,None,Pedestrian,S,Neighbourhood 6,Division 4
2019-10-15,14:20,Collision,Rain,Dark,Dry,None,Passenger,NW,Neighbourhood 20,Division 1
2023-09-18,06:40,Near Miss,Rain,Dawn,Ice,None,Pedestrian,E,Neighbourhood 5,Division 1
2019-10-19,05:21,Near Miss,Rain,Dark,Slush,None,Driver,NW,Neighbourhood 5,Division 1
2018-09-25,10:31,Collision,Clear,Dusk,Snow,None,Driver,SE,Neighbourhood 12,Division 4
2022-12-04,12:37,Collision,Clear,Dark,Snow,None,Driver,W,Neighbourhood 13,Division 1
2020-01-05,16:02,Collision,Fog,Dawn,Wet,None,Passenger,W,Neighbourhood 10,Division 1
2022-07-04,13:38,Collision,Other,Dawn,Dry,None,Passenger,W,Neighbourhood 15,Division 3
2015-10-06,17:03,Near Miss,Clear,Dusk,Ice,None,Pedestrian,SW,Neighbourhood 6,Division 1
2015-05-14,02:34,Collision,Fog,Dusk,Ice,None,Driver,N,Neighbourhood 3,Division 5
2019-09-14,18:35,Near Miss,Clear,Dawn,Ice,Minor,Cyclist,E,Neighbourhood 9,Division 2
2017-03-20,08:54,Near Miss,Snow,Dusk,Snow,Major,Driver,NW,Neighbourhood 15,Division 3
2021-04-22,22:19,Near Miss,Rain,Daylight,Slush,None,Pedestrian,N,Neighbourhood 15,Division 2
2017-03-06,20:39,Collision,Other,Dawn,Slush,None,Pedestrian,SW,Neighbourhood 12,Division 5
2021-09-28,16:18,Collision,Other,Daylight,Wet,None,Pedestrian,NE,Neighbourhood 15,Division 1
2022-12-17,14:39,Near Miss,Fog,Dusk,Slush,Minor,Passenger,E,Neighbourhood 8,Division 2
2023-10-27,13:01,Near Miss,Fog,Daylight,Dry,None,Cyclist,NW,Neighbourhood 10,Division 5
2019-06-20,21:20,Near Miss,Clear,Dark,Wet,None,Driver,S,Neighbourhood 3,Division 3
2013-02-08,00:36,Near Miss,Snow,Daylight,Slush,None,Driver,NE,Neighbourhood 16,Division 4
2016-07-12,06:26,Collision,Clear,Dusk,Dry,Fatal,Pedestrian,NW,Neighbourhood 3,Division 4
2019-02-25,08:04,Collision,Clear,Daylight,Ice,None,Driver,NW,Neighbourhood 1,Division 2
2018-08-30,23:16,Near Miss,Clear,Dusk,Slush,Minor,Pedestrian,N,Neighbourhood 8,Division 5
2013-12-27,07:37,Near Miss,Clear,Dark,Slush,None,Pedestrian,N,Neighbourhood 13,Division 4
2020-07-06,10:28,Near Miss,Snow,Dusk,Dry,Major,Driver,NE,Neighbourhood 2,Division 4
2020-10-22,01:20,Collision,Clear,Dark,Slush,Minor,Pedestrian,NW,Neighbourhood 12,Division 4
2021-10-19,04:46,Collision,Other,Daylight,Snow,Minor,Driver,NW,Neighbourhood 15,Division 1
2023-05-20,11:45,Collision,Snow,Dusk,Slush,Minor,Pedestrian,W,Neighbourhood 17,Division 1
2015-01-20,23:39,Near Miss,Clear,Dawn,Snow,Minor,Driver,SE,Neighbourhood 14,Division 2
2016-01-25,00:03,Collision,Other,Dark,Snow,None,Driver,NW,Neighbourhood 19,Division 4
2021-07-07,16:08,Collision,Clear,Daylight,Slush,Minor,Driver,SE,Neighbourhood 3,Division 5
2013-05-15,00:56,Collision,Fog,Dusk,Ice,None,Pedestrian,W,Neighbourhood 4,Division 1
2020-05-22,12:40,Near Miss,Other,Daylight,Wet,None,Passenger,E,Neighbourhood 16,Division 4
2021-12-09,06:38,Near Miss,Snow,Dark,Wet,None,Driver,NW,Neighbourhood 2,Division 1
2020-04-17,01:58,Near Miss,Other,Dusk,Ice,None,Cyclist,NE,Neighbourhood 11,Division 1
2023-05-22,04:17,Collision,Other,Dark,Snow,Minor,Driver,W,Neighbourhood 2,Division 1
2022-08-15,03:54,Collision,Other,Dark,Slush,Minor,Passenger,NE,Neighbourhood 15,Division 2
2020-09-01,22:39,Near Miss,Other,Dusk,Wet,Minor,Passenger,NW,Neighbourhood 12,Division 5
2015-01-14,06:44,Collision,Fog,Dark,Ice,Minor,Cyclist,NW,Neighbourhood 18,Division 4
2014-01-27,17:03,Near Miss,Rain,Dark,Dry,Minor,Cyclist,W,Neighbourhood 7,Division 1
2021-11-18,14:57,Collision,Rain,Dawn,Slush,None,Cyclist,NE,Neighbourhood 4,Division 2
2018-09-27,14:10,Near Miss,Rain,Dusk,Slush,Minor,Driver,SW,Neighbourhood 16,Division 4
2020-08-17,20:53,Collision,Snow,Dark,Dry,None,Driver,SW,Neighbourhood 18,Division 3
2015-05-19,03:53,Near Miss,Clear,Dark,Slush,None,Pedestrian,N,Neighbourhood 8,Division 4
2019-12-05,07:35,Near Miss,Other,Daylight,Slush,None,Driver,NE,Neighbourhood 8,Division 1
2014-08-14,11:53,Near Miss,Fog,Dawn,Wet,None,Passenger,N,Neighbourhood 9,Division 3
2023-07-19,06:48,Near Miss,Rain,Dusk,Wet,None,Passenger,SE,Neighbourhood 16,Division 1
2023-11-21,21:43,Near Miss,Clear,Dusk,Wet,None,Cyclist,N,Neighbourhood 6,Division 3
2018-06-17,01:02,Collision,Rain,Dark,Dry,None,Driver,NE,Neighbourhood 6,Division 4
2023-02-11,12:38,Near Miss,Rain,Daylight,Wet,None,Driver,N,Neighbourhood 8,Division 3
2017-02-03,06:42,Collision,Other,Dark,Wet,None,Passenger,N,Neighbourhood 3,Division 3
2022-02-04,12:13,Near Miss,Rain,Daylight,Wet,None,Driver,E,Neighbourhood 16,Division 2
2019-02-24,07:53,Collision,Fog,Dark,Snow,None,Cyclist,NW,Neighbourhood 10,Division 2
2021-10-01,16:24,Collision,Other,Dusk,Dry,Minor,Driver,W,Neighbourhood 5,Division 3
2016-11-14,09:23,Near Miss,Snow,Daylight,Slush,Minor,Cyclist,SW,Neighbourhood 3,Division 4
2015-04-18,11:23,Collision,Other,Dawn,Wet,None,Driver,SE,Neighbourhood 19,Division 1
2021-08-18,05:40,Near Miss,Clear,Dusk,Dry,None,Driver,N,Neighbourhood 13,Division 1
2020-07-06,20:27,Near Miss,Fog,Daylight,Slush,None,Passenger,N,Neighbourhood 14,Division 3
2017-10-01,08:03,Collision,Rain,Dusk,Ice,None,Passenger,NW,Neighbourhood 1,Division 4
2022-04-23,07:31,Collision,Snow,Dusk,Snow,None,Passenger,NE,Neighbourhood 19,Division 2
2019-08-15,05:45,Collision,Snow,Dark,Ice,None,Cyclist,W,Neighbourhood 20,Division 2
2021-02-22,13:02,Near Miss,Snow,Dawn,Dry,Fatal,Driver,N,Neighbourhood 12,Division 5
2019-07-18,18:50,Near Miss,Snow,Dark,Dry,Minor,Cyclist,NW,Neighbourhood 5,Division 3
2022-05-13,21:07,Near Miss,Clear,Dusk,Slush,Minor,Driver,NE,Neighbourhood 18,Division 3
2021-12-13,20:29,Collision,Rain,Dark,Slush,None,Cyclist,N,Neighbourhood 11,Division 3
2017-03-08,09:19,Near Miss,Clear,Dawn,Wet,None,Cyclist,NW,Neighbourhood 17,Division 5
2018-06-01,23:15,Collision,Rain,Daylight,Ice,None,Cyclist,NE,Neighbourhood 4,Division 2
2023-12-04,04:06,Near Miss,Clear,Dark,Ice,None,Passenger,SW,Neighbourhood 8,Division 5
2014-12-01,01:30,Collision,Snow,Daylight,Ice,Minor,Pedestrian,NE,Neighbourhood 2,Division 4
2022-03-05,13:25,Collision,Rain,Dark,Wet,None,Cyclist,NW,Neighbourhood 12,Division 2
2017-05-09,15:49,Near Miss,Snow,Daylight,Snow,Major,Cyclist,S,Neighbourhood 12,Division 1
2023-08-28,08:54,Collision,Fog,Dawn,Snow,None,Driver,E,Neighbourhood 9,Division 1
2015-01-26,18:30,Collision,Clear,Dark,Wet,Minor,Cyclist,W,Neighbourhood 1,Division 2
2021-03-28,20:22,Collision,Snow,Dawn,Dry,None,Driver,SW,Neighbourhood 18,Division 3
2016-05-23,01:25,Near Miss,Other,Daylight,Wet,None,Pedestrian,SE,Neighbourhood 18,Division 1
2017-03-03,07:13,Collision,Fog,Dusk,Dry,None,Pedestrian,E,Neighbourhood 5,Division 2
2021-04-04,05:24,Near Miss,Clear,Daylight,Ice,None,Driver,SW,Neighbourhood 18,Division 5
2020-09-29,13:55,Near Miss,Other,Dawn,Slush,None,Passenger,SW,Neighbourhood 8,Division 4
2023-02-15,21:17,Near Miss,Fog,Daylight,Snow,None,Cyclist,SE,Neighbourhood 8,Division 1
2021-09-29,19:07,Near Miss,Rain,Dusk,Ice,None,Pedestrian,SW,Neighbourhood 16,Division 4
2022-02-12,15:47,Near Miss,Other,Dark,Snow,None,Cyclist,NE,Neighbourhood 12,Division 4
2014-11-04,02:10,Collision,Rain,Dawn,Snow,None,Pedestrian,NE,Neighbourhood 20,Division 5
2017-07-05,13:56,Near Miss,Other,Dark,Ice,Minor,Pedestrian,W,Neighbourhood 16,Division 4
2015-02-28,21:16,Near Miss,Clear,Dark,Snow,None,Driver,NE,Neighbourhood 14,Division 3
2015-11-08,18:46,Near Miss,Rain,Dusk,Slush,None,Pedestrian,SW,Neighbourhood 1,Division 2
2023-09-03,13:55,Near Miss,Fog,Dark,Snow,Minor,Driver,S,Neighbourhood 20,Division 2
2021-12-04,15:13,Near Miss,Snow,Dark,Slush,Minor,Driver,S,Neighbourhood 5,Division 5
2016-10-27,13:17,Near Miss,Rain,Dusk,Dry,None,Driver,SE,Neighbourhood 8,Division 5
2023-04-27,02:57,Near Miss,Fog,Dawn,Wet,None,Pedestrian,E,Neighbourhood 13,Division 5
2014-10-19,15:22,Near Miss,Rain,Daylight,Ice,Minor,Cyclist,SE,Neighbourhood 9,Division 3
2014-09-22,11:37,Collision,Other,Dark,Slush,Major,Pedestrian,W,Neighbourhood 10,Division 2
2021-04-17,17:53,Collision,Clear,Daylight,Wet,Major,Cyclist,S,Neighbourhood 6,Division 5
2022-09-29,15:37,Collision,Other,Dark,Dry,None,Passenger,S,Neighbourhood 10,Division 4
2016-05-16,04:51,Collision,Other,Dusk,Wet,None,Cyclist,E,Neighbourhood 8,Division 4
2016-06-03,16:17,Near Miss,Clear,Dawn,Ice,None,Driver,W,Neighbourhood 19,Division 3
2023-10-29,05:07,Collision,Snow,Dark,Ice,None,Cyclist,S,Neighbourhood 5,Division 4
2013-01-28,13:55,Near Miss,Other,Dark,Snow,Minor,Driver,SW,Neighbourhood 6,Division 5
2016-01-07,15:26,Collision,Snow,Daylight,Dry,Minor,Cyclist,SE,Neighbourhood 17,Division 2
2021-10-10,23:41,Collision,Other,Dark,Wet,None,Passenger,E,Neighbourhood 13,Division 3
2015-09-06,02:54,Near Miss,Clear,Daylight,Dry,None,Driver,W,Neighbourhood 11,Division 2
2018-01-15,01:01,Near Miss,Other,Dark,Slush,None,Pedestrian,N,Neighbourhood 7,Division 1
2019-06-22,20:13,Near Miss,Snow,Dark,Snow,None,Cyclist,SW,Neighbourhood 20,Division 1
2022-10-25,14:16,Near Miss,Snow,Dusk,Slush,None,Driver,S,Neighbourhood 10,Division 1
2014-05-13,09:00,Collision,Clear,Daylight,Wet,None,Driver,N,Neighbourhood 14,Division 1
2018-08-24,09:03,Collision,Other,Dark,Slush,None,Passenger,E,Neighbourhood 8,Division 2
2020-04-19,02:42,Near Miss,Rain,Dusk,Slush,None,Pedestrian,S,Neighbourhood 6,Division 1
2021-06-02,18:00,Collision,Other,Daylight,Slush,Fatal,Pedestrian,S,Neighbourhood 11,Division 4
2014-01-07,01:05,Collision,Rain,Dark,Wet,None,Passenger,NW,Neighbourhood 2,Division 3
2013-09-29,00:19,Near Miss,Fog,Dawn,Dry,None,Pedestrian,S,Neighbourhood 4,Division 4
2019-02-12,05:43,Near Miss,Other,Dusk,Wet,None,Pedestrian,W,Neighbourhood 17,Division 4
2020-02-29,12:41,Collision,Rain,Daylight,Dry,Minor,Passenger,N,Neighbourhood 3,Division 1
2016-04-03,21:14,Near Miss,Clear,Dusk,Ice,None,Pedestrian,N,Neighbourhood 12,Division 2
2020-08-25,01:30,Collision,Rain,Dawn,Slush,None,Driver,W,Neighbourhood 14,Division 2
2017-02-25,07:44,Near Miss,Clear,Dusk,Slush,None,Driver,SE,Neighbourhood 5,Division 1
2015-11-15,09:41,Collision,Snow,Dark,Wet,Minor,Pedestrian,SE,Neighbourhood 16,Division 3
2023-05-04,03:24,Near Miss,Clear,Dark,Slush,None,Pedestrian,NW,Neighbourhood 3,Division 4
2017-09-27,18:12,Collision,Rain,Daylight,Wet,None,Driver,SE,Neighbourhood 15,Division 5
2016-08-06,14:52,Near Miss,Snow,Dawn,Dry,Minor,Passenger,N,Neighbourhood 1,Division 5
2018-11-19,11:43,Near Miss,Clear,Daylight,Wet,Minor,Cyclist,NW,Neighbourhood 15,Division 1
2019-11-19,07:12,Near Miss,Clear,Daylight,Dry,None,Driver,NW,Neighbourhood 3,Division 4
2014-11-16,22:55,Collision,Rain,Dark,Wet,None,Passenger,E,Neighbourhood 5,Division 3
2014-03-16,02:45,Collision,Rain,Dusk,Dry,Minor,Pedestrian,S,Neighbourhood 18,Division 3
2014-03-07,22:41,Near Miss,Rain,Dawn,Snow,None,Cyclist,NW,Neighbourhood 15,Division 4
2014-01-08,09:10,Collision,Rain,Daylight,Ice,Minor,Driver,NW,Neighbourhood 6,Division 2
2018-11-17,12:04,Collision,Fog,Dusk,Snow,None,Passenger,NW,Neighbourhood 10,Division 5
2022-11-09,20:57,Near Miss,Fog,Dawn,Slush,None,Cyclist,S,Neighbourhood 9,Division 1
2020-10-22,09:21,Collision,Snow,Dusk,Snow,None,Passenger,W,Neighbourhood 2,Division 5
2022-12-20,14:44,Collision,Fog,Dusk,Dry,None,Passenger,W,Neighbourhood 5,Division 2
2017-10-20,01:00,Near Miss,Fog,Daylight,Slush,Minor,Pedestrian,SE,Neighbourhood 3,Division 5
2018-02-22,07:38,Collision,Fog,Dawn,Wet,None,Pedestrian,NE,Neighbourhood 6,Division 5
2019-07-31,20:12,Collision,Snow,Daylight,Dry,None,Pedestrian,W,Neighbourhood 6,Division 2
2016-05-16,13:56,Near Miss,Rain,Daylight,Ice,None,Cyclist,W,Neighbourhood 14,Division 4
2019-04-17,11:32,Collision,Rain,Dawn,Wet,Major,Cyclist,SE,Neighbourhood 1,Division 3
2018-04-09,06:25,Collision,Other,Dusk,Ice,Minor,Passenger,W,Neighbourhood 14,Division 2
2020-08-29,15:07,Collision,Clear,Daylight,Dry,None,Driver,S,Neighbourhood 2,Division 3
2021-01-31,07:51,Collision,Rain,Dark,Ice,None,Cyclist,E,Neighbourhood 7,Division 5
2018-09-06,09:16,Collision,Snow,Dawn,Snow,Minor,Cyclist,N,Neighbourhood 20,Division 3
2023-11-02,10:44,Collision,Clear,Dusk,Snow,None,Passenger,NW,Neighbourhood 8,Division 2
2023-02-04,00:47,Near Miss,Fog,Dawn,Snow,None,Pedestrian,S,Neighbourhood 6,Division 4
2018-03-13,23:29,Near Miss,Rain,Dawn,Dry,None,Driver,NE,Neighbourhood 20,Division 2
2017-03-09,04:16,Near Miss,Fog,Dusk,Slush,Minor,Cyclist,SW,Neighbourhood 7,Division 1
2023-04-29,17:13,Near Miss,Other,Dark,Ice,Minor,Pedestrian,SE,Neighbourhood 10,Division 3
2023-05-22,20:18,Near Miss,Rain,Daylight,Snow,Minor,Driver,SE,Neighbourhood 18,Division 3
2022-12-21,08:57,Near Miss,Fog,Dawn,Ice,None,Passenger,N,Neighbourhood 9,Division 1
2021-08-17,11:50,Collision,Rain,Dusk,Ice,None,Driver,S,Neighbourhood 17,Division 5
2019-11-21,06:27,Near Miss,Rain,Dusk,Slush,Minor,Passenger,W,Neighbourhood 14,Division 4
2020-06-06,14:30,Near Miss,Other,Dark,Ice,Major,Pedestrian,SE,Neighbourhood 9,Division 5
2023-04-22,01:16,Collision,Fog,Dark,Wet,None,Cyclist,SW,Neighbourhood 11,Division 1
2018-11-17,20:43,Collision,Rain,Daylight,Snow,None,Cyclist,E,Neighbourhood 13,Division 4
2016-09-14,13:19,Near Miss,Clear,Daylight,Slush,None,Pedestrian,SE,Neighbourhood 5,Division 4
2021-09-11,15:47,Collision,Rain,Daylight,Slush,Minor,Pedestrian,SE,Neighbourhood 19,Division 2
2014-05-11,06:22,Collision,Clear,Daylight,Slush,None,Pedestrian,W,Neighbourhood 7,Division 3
2023-07-19,18:24,Near Miss,Clear,Dark,Ice,Minor,Passenger,E,Neighbourhood 11,Division 1
2013-05-11,08:15,Collision,Clear,Daylight,Snow,Major,Passenger,SE,Neighbourhood 11,Division 3
2015-11-09,06:21,Near Miss,Clear,Dawn,Ice,Fatal,Cyclist,NW,Neighbourhood 14,Division 4
2022-08-21,07:19,Near Miss,Rain,Dawn,Dry,Minor,Pedestrian,E,Neighbourhood 7,Division 4
